style_code,town_code,town,agas_code,under_60,over_60,year
120,3000,ירושלים,111,2816,136,2020
120,3000,ירושלים,112,2616,225,2020
120,3000,ירושלים,113,3571,391,2020
120,3000,ירושלים,114,3700,328,2020
120,3000,ירושלים,115,4349,404,2020
120,3000,ירושלים,116,6749,638,2020
120,3000,ירושלים,121,4177,992,2020
120,3000,ירושלים,122,2577,646,2020
120,3000,ירושלים,123,3776,1131,2020
120,3000,ירושלים,124,1827,453,2020
120,3000,ירושלים,125,3705,633,2020
120,3000,ירושלים,131,2277,309,2020
120,3000,ירושלים,132,3594,904,2020
120,3000,ירושלים,133,4832,740,2020
120,3000,ירושלים,134,2164,565,2020
120,3000,ירושלים,135,3443,958,2020
120,3000,ירושלים,136,3183,916,2020
120,3000,ירושלים,411,5260,470,2020
120,3000,ירושלים,412,4435,324,2020
120,3000,ירושלים,413,4064,447,2020
120,3000,ירושלים,421,6370,596,2020
120,3000,ירושלים,422,3394,389,2020
120,3000,ירושלים,423,5214,249,2020
120,3000,ירושלים,424,2915,271,2020
120,3000,ירושלים,425,5882,535,2020
120,3000,ירושלים,426,5305,408,2020
120,3000,ירושלים,431,4509,748,2020
120,3000,ירושלים,432,4663,451,2020
120,3000,ירושלים,433,2320,308,2020
120,3000,ירושלים,434,3301,459,2020
120,3000,ירושלים,435,1554,555,2020
120,3000,ירושלים,512,2378,506,2020
120,3000,ירושלים,513,3522,426,2020
120,3000,ירושלים,514,3841,430,2020
120,3000,ירושלים,515,3945,614,2020
120,3000,ירושלים,521,3755,599,2020
120,3000,ירושלים,522,3807,373,2020
120,3000,ירושלים,523,2548,586,2020
120,3000,ירושלים,531,2917,338,2020
120,3000,ירושלים,532,4710,280,2020
120,3000,ירושלים,533,2327,372,2020
120,3000,ירושלים,541,3017,1032,2020
120,3000,ירושלים,542,2559,511,2020
120,3000,ירושלים,543,653,6,2020
120,3000,ירושלים,812,3206,479,2020
120,3000,ירושלים,821,8171,576,2020
120,3000,ירושלים,822,6438,460,2020
120,3000,ירושלים,823,3902,246,2020
120,3000,ירושלים,824,9112,743,2020
120,3000,ירושלים,825,2552,250,2020
120,3000,ירושלים,826,5723,602,2020
120,3000,ירושלים,832,3726,377,2020
120,3000,ירושלים,833,1357,166,2020
120,3000,ירושלים,834,3886,512,2020
120,3000,ירושלים,835,2457,229,2020
120,3000,ירושלים,836,3818,450,2020
120,3000,ירושלים,841,1587,292,2020
120,3000,ירושלים,842,662,124,2020
120,3000,ירושלים,843,805,128,2020
120,3000,ירושלים,846,911,268,2020
120,3000,ירושלים,847,601,232,2020
120,3000,ירושלים,848,1044,270,2020
120,3000,ירושלים,851,757,131,2020
120,3000,ירושלים,852,563,153,2020
120,3000,ירושלים,853,1504,336,2020
120,3000,ירושלים,854,1505,269,2020
120,3000,ירושלים,855,1339,238,2020
120,3000,ירושלים,856,881,179,2020
120,3000,ירושלים,857,925,207,2020
120,3000,ירושלים,858,595,135,2020
120,3000,ירושלים,861,508,395,2020
120,3000,ירושלים,862,1201,286,2020
120,3000,ירושלים,863,2407,736,2020
120,3000,ירושלים,864,2045,665,2020
120,3000,ירושלים,911,2354,630,2020
120,3000,ירושלים,912,4742,543,2020
120,3000,ירושלים,913,1725,584,2020
120,3000,ירושלים,914,8253,559,2020
120,3000,ירושלים,915,6214,423,2020
