,town_code,agas_code,town,date,year,style_code,under_60,over_60,daily_cases,daily_recoveries,daily_hospitalized,daily_deaths,daily_diagnostic_tests,daily_vaccination_first_dose,daily_vaccination_second_dose,daily_vaccination_third_dose,latitude,longitude,week_of_year
294208,2710,9999,אום אל-פחם,2020-09-06,2020,250,52570.0,4206.0,59,40,2,0,312,0,0,0,32.517127,35.148529,36
300772,2710,9999,אום אל-פחם,2020-09-10,2020,250,52570.0,4206.0,103,37,1,0,476,0,0,0,32.517127,35.148529,37
305695,2710,9999,אום אל-פחם,2020-09-13,2020,250,52570.0,4206.0,77,65,1,0,501,0,0,0,32.517127,35.148529,37
307336,2710,9999,אום אל-פחם,2020-09-14,2020,250,52570.0,4206.0,74,39,6,0,430,0,0,0,32.517127,35.148529,38
308977,2710,9999,אום אל-פחם,2020-09-15,2020,250,52570.0,4206.0,58,54,1,0,377,0,0,0,32.517127,35.148529,38
310618,2710,9999,אום אל-פחם,2020-09-16,2020,250,52570.0,4206.0,35,49,2,0,250,0,0,0,32.517127,35.148529,38
312259,2710,9999,אום אל-פחם,2020-09-17,2020,250,52570.0,4206.0,35,60,2,0,221,0,0,0,32.517127,35.148529,38
317182,2710,9999,אום אל-פחם,2020-09-20,2020,250,52570.0,4206.0,64,113,3,0,306,0,0,0,32.517127,35.148529,38
318823,2710,9999,אום אל-פחם,2020-09-21,2020,250,52570.0,4206.0,58,100,3,0,278,0,0,0,32.517127,35.148529,39
320464,2710,9999,אום אל-פחם,2020-09-22,2020,250,52570.0,4206.0,12,79,4,0,147,0,0,0,32.517127,35.148529,39
322105,2710,9999,אום אל-פחם,2020-09-23,2020,250,52570.0,4206.0,21,62,3,0,115,0,0,0,32.517127,35.148529,39
325387,2710,9999,אום אל-פחם,2020-09-25,2020,250,52570.0,4206.0,44,62,4,0,162,0,0,0,32.517127,35.148529,39
333592,2710,9999,אום אל-פחם,2020-09-30,2020,250,52570.0,4206.0,13,53,2,0,116,0,0,0,32.517127,35.148529,40
333812,3797,4,מודיעין עילית,2020-09-30,2020,150,21769.0,343.0,151,48,2,0,706,0,0,0,31.932477,35.042265,40
440257,2710,9999,אום אל-פחם,2020-12-04,2020,250,52570.0,4206.0,31,46,2,0,293,0,0,0,32.517127,35.148529,49
466513,2710,9999,אום אל-פחם,2020-12-20,2020,250,52570.0,4206.0,17,39,1,1,229,0,0,0,32.517127,35.148529,51
469206,8800,9999,שפרעם,2020-12-21,2020,260,37713.0,4797.0,32,34,3,0,336,69,0,0,32.8035805,35.1732997,52
469795,2710,9999,אום אל-פחם,2020-12-22,2020,250,52570.0,4206.0,7,26,2,0,202,127,0,0,32.517127,35.148529,52
472488,8800,9999,שפרעם,2020-12-23,2020,260,37713.0,4797.0,38,29,1,1,422,213,0,0,32.8035805,35.1732997,52
473077,2710,9999,אום אל-פחם,2020-12-24,2020,250,52570.0,4206.0,30,24,0,1,329,211,0,0,32.517127,35.148529,52
474130,8900,9999,טמרה,2020-12-24,2020,260,31724.0,3153.0,38,68,3,0,352,56,0,0,32.8552512,35.1859141,52
474718,2710,9999,אום אל-פחם,2020-12-25,2020,250,52570.0,4206.0,13,13,3,1,141,117,0,0,32.517127,35.148529,52
476359,2710,9999,אום אל-פחם,2020-12-26,2020,250,52570.0,4206.0,20,7,1,0,155,95,0,0,32.517127,35.148529,52
477134,7500,9999,סח'נין,2020-12-26,2020,260,29519.0,2673.0,28,53,1,0,327,174,0,0,32.8621403,35.2996234,52
478000,2710,9999,אום אל-פחם,2020-12-27,2020,250,52570.0,4206.0,52,56,2,0,237,273,0,0,32.517127,35.148529,52
