,town_code,agas_code,town,date,year,style_code,under_60,over_60,daily_cases,daily_recoveries,daily_hospitalized,daily_deaths,daily_diagnostic_tests,daily_vaccination_first_dose,daily_vaccination_second_dose,daily_vaccination_third_dose,latitude,longitude,week_of_year
520,3000,541,ירושלים,2020-03-11,2020,120,3017.0,1032.0,0,0,0,0,0,0,0,0,31.768319,35.21371,11
760,4000,932,חיפה,2020-03-11,2020,130,3615.0,1198.0,0,0,0,0,0,0,0,0,32.7940463,34.989571,11
865,5000,833,תל אביב-יפו,2020-03-11,2020,130,3936.0,991.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
866,5000,911,תל אביב-יפו,2020-03-11,2020,130,3458.0,1072.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
879,5000,942,תל אביב-יפו,2020-03-11,2020,130,3781.0,1261.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
884,5000,947,תל אביב-יפו,2020-03-11,2020,130,3562.0,1162.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
1108,6900,35,כפר סבא,2020-03-11,2020,140,1425.0,614.0,0,0,0,0,0,0,0,0,32.178195,34.90761,11
1239,7400,531,נתניה,2020-03-11,2020,130,6650.0,2018.0,0,0,0,0,0,0,0,0,32.321458,34.853196,11
1265,7700,21,עפולה,2020-03-11,2020,150,7725.0,2002.0,0,0,0,0,0,0,0,0,32.610493,35.287922,11
1495,8600,416,רמת גן,2020-03-11,2020,140,1875.0,1326.0,0,0,0,0,0,0,0,0,32.068424,34.824785,11
2161,3000,541,ירושלים,2020-03-12,2020,120,3017.0,1032.0,0,0,0,0,0,0,0,0,31.768319,35.21371,11
2401,4000,932,חיפה,2020-03-12,2020,130,3615.0,1198.0,0,0,0,0,0,0,0,0,32.7940463,34.989571,11
2506,5000,833,תל אביב-יפו,2020-03-12,2020,130,3936.0,991.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
2507,5000,911,תל אביב-יפו,2020-03-12,2020,130,3458.0,1072.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
2520,5000,942,תל אביב-יפו,2020-03-12,2020,130,3781.0,1261.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
2525,5000,947,תל אביב-יפו,2020-03-12,2020,130,3562.0,1162.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
2749,6900,35,כפר סבא,2020-03-12,2020,140,1425.0,614.0,0,0,0,0,0,0,0,0,32.178195,34.90761,11
2880,7400,531,נתניה,2020-03-12,2020,130,6650.0,2018.0,0,0,0,0,0,0,0,0,32.321458,34.853196,11
2906,7700,21,עפולה,2020-03-12,2020,150,7725.0,2002.0,0,0,0,0,0,0,0,0,32.610493,35.287922,11
3136,8600,416,רמת גן,2020-03-12,2020,140,1875.0,1326.0,0,0,0,0,0,0,0,0,32.068424,34.824785,11
3802,3000,541,ירושלים,2020-03-13,2020,120,3017.0,1032.0,0,0,0,0,0,0,0,0,31.768319,35.21371,11
4042,4000,932,חיפה,2020-03-13,2020,130,3615.0,1198.0,0,0,0,0,0,0,0,0,32.7940463,34.989571,11
4147,5000,833,תל אביב-יפו,2020-03-13,2020,130,3936.0,991.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
4148,5000,911,תל אביב-יפו,2020-03-13,2020,130,3458.0,1072.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
4161,5000,942,תל אביב-יפו,2020-03-13,2020,130,3781.0,1261.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
4166,5000,947,תל אביב-יפו,2020-03-13,2020,130,3562.0,1162.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
4390,6900,35,כפר סבא,2020-03-13,2020,140,1425.0,614.0,0,0,0,0,0,0,0,0,32.178195,34.90761,11
4521,7400,531,נתניה,2020-03-13,2020,130,6650.0,2018.0,0,0,0,0,0,0,0,0,32.321458,34.853196,11
4547,7700,21,עפולה,2020-03-13,2020,150,7725.0,2002.0,0,0,0,0,0,0,0,0,32.610493,35.287922,11
4777,8600,416,רמת גן,2020-03-13,2020,140,1875.0,1326.0,0,0,0,0,0,0,0,0,32.068424,34.824785,11
5443,3000,541,ירושלים,2020-03-14,2020,120,3017.0,1032.0,0,0,0,0,0,0,0,0,31.768319,35.21371,11
5683,4000,932,חיפה,2020-03-14,2020,130,3615.0,1198.0,0,0,0,0,0,0,0,0,32.7940463,34.989571,11
5788,5000,833,תל אביב-יפו,2020-03-14,2020,130,3936.0,991.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
5789,5000,911,תל אביב-יפו,2020-03-14,2020,130,3458.0,1072.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
5802,5000,942,תל אביב-יפו,2020-03-14,2020,130,3781.0,1261.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
5807,5000,947,תל אביב-יפו,2020-03-14,2020,130,3562.0,1162.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
6031,6900,35,כפר סבא,2020-03-14,2020,140,1425.0,614.0,0,0,0,0,0,0,0,0,32.178195,34.90761,11
6162,7400,531,נתניה,2020-03-14,2020,130,6650.0,2018.0,0,0,0,0,0,0,0,0,32.321458,34.853196,11
6188,7700,21,עפולה,2020-03-14,2020,150,7725.0,2002.0,0,0,0,0,0,0,0,0,32.610493,35.287922,11
6418,8600,416,רמת גן,2020-03-14,2020,140,1875.0,1326.0,0,0,0,0,0,0,0,0,32.068424,34.824785,11
7084,3000,541,ירושלים,2020-03-15,2020,120,3017.0,1032.0,0,0,0,0,0,0,0,0,31.768319,35.21371,11
7324,4000,932,חיפה,2020-03-15,2020,130,3615.0,1198.0,0,0,0,0,0,0,0,0,32.7940463,34.989571,11
7429,5000,833,תל אביב-יפו,2020-03-15,2020,130,3936.0,991.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
7430,5000,911,תל אביב-יפו,2020-03-15,2020,130,3458.0,1072.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
7443,5000,942,תל אביב-יפו,2020-03-15,2020,130,3781.0,1261.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
7448,5000,947,תל אביב-יפו,2020-03-15,2020,130,3562.0,1162.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,11
7672,6900,35,כפר סבא,2020-03-15,2020,140,1425.0,614.0,0,0,0,0,0,0,0,0,32.178195,34.90761,11
7803,7400,531,נתניה,2020-03-15,2020,130,6650.0,2018.0,0,0,0,0,0,0,0,0,32.321458,34.853196,11
7829,7700,21,עפולה,2020-03-15,2020,150,7725.0,2002.0,0,0,0,0,0,0,0,0,32.610493,35.287922,11
8059,8600,416,רמת גן,2020-03-15,2020,140,1875.0,1326.0,0,0,0,0,0,0,0,0,32.068424,34.824785,11
8725,3000,541,ירושלים,2020-03-16,2020,120,3017.0,1032.0,0,0,0,0,0,0,0,0,31.768319,35.21371,12
8965,4000,932,חיפה,2020-03-16,2020,130,3615.0,1198.0,0,0,0,0,0,0,0,0,32.7940463,34.989571,12
9070,5000,833,תל אביב-יפו,2020-03-16,2020,130,3936.0,991.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
9071,5000,911,תל אביב-יפו,2020-03-16,2020,130,3458.0,1072.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
9084,5000,942,תל אביב-יפו,2020-03-16,2020,130,3781.0,1261.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
9089,5000,947,תל אביב-יפו,2020-03-16,2020,130,3562.0,1162.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
9313,6900,35,כפר סבא,2020-03-16,2020,140,1425.0,614.0,0,0,0,0,0,0,0,0,32.178195,34.90761,12
9444,7400,531,נתניה,2020-03-16,2020,130,6650.0,2018.0,0,0,0,0,0,0,0,0,32.321458,34.853196,12
9470,7700,21,עפולה,2020-03-16,2020,150,7725.0,2002.0,0,0,0,0,0,0,0,0,32.610493,35.287922,12
9700,8600,416,רמת גן,2020-03-16,2020,140,1875.0,1326.0,0,0,0,0,0,0,0,0,32.068424,34.824785,12
10366,3000,541,ירושלים,2020-03-17,2020,120,3017.0,1032.0,0,0,0,0,0,0,0,0,31.768319,35.21371,12
10606,4000,932,חיפה,2020-03-17,2020,130,3615.0,1198.0,0,0,0,0,0,0,0,0,32.7940463,34.989571,12
10711,5000,833,תל אביב-יפו,2020-03-17,2020,130,3936.0,991.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
10712,5000,911,תל אביב-יפו,2020-03-17,2020,130,3458.0,1072.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
10725,5000,942,תל אביב-יפו,2020-03-17,2020,130,3781.0,1261.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
10730,5000,947,תל אביב-יפו,2020-03-17,2020,130,3562.0,1162.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
10954,6900,35,כפר סבא,2020-03-17,2020,140,1425.0,614.0,0,0,0,0,0,0,0,0,32.178195,34.90761,12
11085,7400,531,נתניה,2020-03-17,2020,130,6650.0,2018.0,0,0,0,0,0,0,0,0,32.321458,34.853196,12
11111,7700,21,עפולה,2020-03-17,2020,150,7725.0,2002.0,0,0,0,0,0,0,0,0,32.610493,35.287922,12
11341,8600,416,רמת גן,2020-03-17,2020,140,1875.0,1326.0,0,0,0,0,0,0,0,0,32.068424,34.824785,12
12007,3000,541,ירושלים,2020-03-18,2020,120,3017.0,1032.0,0,0,0,0,0,0,0,0,31.768319,35.21371,12
12247,4000,932,חיפה,2020-03-18,2020,130,3615.0,1198.0,0,0,0,0,0,0,0,0,32.7940463,34.989571,12
12352,5000,833,תל אביב-יפו,2020-03-18,2020,130,3936.0,991.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
12353,5000,911,תל אביב-יפו,2020-03-18,2020,130,3458.0,1072.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
12366,5000,942,תל אביב-יפו,2020-03-18,2020,130,3781.0,1261.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
12371,5000,947,תל אביב-יפו,2020-03-18,2020,130,3562.0,1162.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
12595,6900,35,כפר סבא,2020-03-18,2020,140,1425.0,614.0,0,0,0,0,0,0,0,0,32.178195,34.90761,12
12726,7400,531,נתניה,2020-03-18,2020,130,6650.0,2018.0,0,0,0,0,15,0,0,0,32.321458,34.853196,12
12752,7700,21,עפולה,2020-03-18,2020,150,7725.0,2002.0,0,0,0,0,0,0,0,0,32.610493,35.287922,12
12982,8600,416,רמת גן,2020-03-18,2020,140,1875.0,1326.0,0,0,0,0,0,0,0,0,32.068424,34.824785,12
13648,3000,541,ירושלים,2020-03-19,2020,120,3017.0,1032.0,0,0,0,0,0,0,0,0,31.768319,35.21371,12
13888,4000,932,חיפה,2020-03-19,2020,130,3615.0,1198.0,0,0,0,0,0,0,0,0,32.7940463,34.989571,12
13993,5000,833,תל אביב-יפו,2020-03-19,2020,130,3936.0,991.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
13994,5000,911,תל אביב-יפו,2020-03-19,2020,130,3458.0,1072.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
14007,5000,942,תל אביב-יפו,2020-03-19,2020,130,3781.0,1261.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
14012,5000,947,תל אביב-יפו,2020-03-19,2020,130,3562.0,1162.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
14236,6900,35,כפר סבא,2020-03-19,2020,140,1425.0,614.0,0,0,0,0,0,0,0,0,32.178195,34.90761,12
14367,7400,531,נתניה,2020-03-19,2020,130,6650.0,2018.0,0,0,0,0,3,0,0,0,32.321458,34.853196,12
14393,7700,21,עפולה,2020-03-19,2020,150,7725.0,2002.0,0,0,0,0,0,0,0,0,32.610493,35.287922,12
14623,8600,416,רמת גן,2020-03-19,2020,140,1875.0,1326.0,0,0,0,0,0,0,0,0,32.068424,34.824785,12
15289,3000,541,ירושלים,2020-03-20,2020,120,3017.0,1032.0,0,0,0,0,0,0,0,0,31.768319,35.21371,12
15529,4000,932,חיפה,2020-03-20,2020,130,3615.0,1198.0,0,0,0,0,0,0,0,0,32.7940463,34.989571,12
15634,5000,833,תל אביב-יפו,2020-03-20,2020,130,3936.0,991.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
15635,5000,911,תל אביב-יפו,2020-03-20,2020,130,3458.0,1072.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
15648,5000,942,תל אביב-יפו,2020-03-20,2020,130,3781.0,1261.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
15653,5000,947,תל אביב-יפו,2020-03-20,2020,130,3562.0,1162.0,0,0,0,0,0,0,0,0,32.04960790000001,34.7588317,12
15877,6900,35,כפר סבא,2020-03-20,2020,140,1425.0,614.0,0,0,0,0,0,0,0,0,32.178195,34.90761,12
16008,7400,531,נתניה,2020-03-20,2020,130,6650.0,2018.0,0,0,0,0,2,0,0,0,32.321458,34.853196,12
16034,7700,21,עפולה,2020-03-20,2020,150,7725.0,2002.0,0,0,0,0,18,0,0,0,32.610493,35.287922,12
