town,latitude,longitude
ראש פינה,32.9690188,35.5428591
מזכרת בתיה,31.850638,34.840016
אופקים,31.3067541,34.6197998
אליכין,32.407659,34.925028
כפר תבור,32.687727,35.4200208
עתלית,32.6960656,34.9458283
אשדוד,31.804381,34.655314
מצפה רמון,30.6094096,34.8011766
רמת ישי,32.704029,35.166003
גבעת ברנר,31.86661,34.802254
תל מונד,32.2567936,34.9205712
גן יבנה,31.7836028,34.703177
כפר יונה,32.3176357,34.9330201
פרדסייה,32.305011,34.911731
כפר ויתקין,32.380541,34.875308
קדימה-צורן,32.2779191,34.9112736
גני תקווה,32.060497,34.873121
יקנעם עילית,32.660225,35.104606
נתיבות,31.423132,34.5946466
צור משה,32.298911,34.913117
בית יצחק-שער חפר,32.3333417,34.8899779
בית דגן,32.002465,34.8295485
קריית עקרון,31.862547,34.8219576
אבו גוש,31.806293,35.109193
אבו סנאן,32.95803,35.171969
אכסאל,32.6821176,35.3229703
בית ג'ן,32.9651552,35.37935360000001
מגאר,32.8872843,35.4091765
בועיינה-נוג'ידאת,32.8044208,35.3650625
בענה,32.929538,35.27191699999999
ג'ולס,32.94498,35.184243
ג'ש (גוש חלב),33.021266,35.447949
דבורייה,32.6909133,35.371153
דייר אל-אסד,32.93445,35.268394
דייר חנא,32.8622818,35.3662265
דאלית אל-כרמל,32.6934814,35.0470183
חורפיש,33.016688,35.347106
טורעאן,32.776688,35.3746247
יפיע,32.695002,35.28201
ירכא,32.953492,35.21199
כאבול,32.8700114,35.2071305
כאוכב אבו אל-היג'א,32.831888,35.248701
כפר יאסיף,32.9520318,35.1599957
כפר כמא,32.721473,35.4394617
כפר כנא,32.750474,35.3400398
כפר מנדא,32.809649,35.2624051
עילוט,32.717249,35.261482
כפר מצר,32.6453528,35.4223211
מג'ד אל-כרום,32.920132,35.25665
מזרעה,32.983652,35.098934
מעיליא,33.027194,35.256304
משהד,32.738912,35.322494
עין נקובא,31.79391,35.11968299999999
נחף,32.9350929,35.3156595
נאעורה,32.61468,35.391133
סאג'ור,32.9428596,35.3417247
עוזייר,32.790614,35.326882
אעבלין,32.8213416,35.195795
עיילבון,32.8348489,35.4038304
עראבה,32.8530087,35.3361947
עין מאהל,32.7234184,35.3553423
עספיא,32.720737,35.059087
פסוטה,33.04782,35.308827
פקיעין (בוקייעה),32.9787353,35.33336329999999
פוריידיס,32.597351,34.951899
שעב,32.890853,35.2404921
ג'סר א-זרקא,32.536262,34.911569
ריינה,32.722061,35.3155447
ראמה,32.9374389,35.366515
אזור,32.0245041,34.8058575
יד בנימין,31.796685,34.82037
סביון,32.0447034,34.8758182
ג'לג'וליה,32.1524568,34.9539749
